"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-69278","Cell Cycle, Mitotic","187/1540","499/8772",6.70556008579116e-28,6.88661020810752e-25,5.7244307679754e-25,"Tubb6/Hist1h2an/Ube2c/Mcm10/Cdk1/Cenpt/Lmnb1/Ccnb1/Ercc6l/Cdc6/Cdc45/Gtse1/Dna2/Tpx2/Cdk6/Ndc1/Fbxo5/Aurkb/H2ac4/Tubg1/Wee1/Stag2/Cdt1/Tuba1a/Mcm6/Cdk2/Haus5/Mcm5/Mcm7/Lmna/Zwilch/H2ac10/Fzr1/Akap9/Kntc1/H2bc4/H2afx/Ccne2/Rpa1/Pole/Mad2l1/Nipbl/Bub1/Nup37/Lig1/Rbl1/Plk1/Trp53/Mcm4/Ccnd2/Nup188/Ncapd2/Cdca8/Cenpn/Rangap1/Nup93/Mcm3/Mastl/Spc24/Kif20a/Nup107/Ppp2r1a/Prim1/Birc5/Kif2c/Kif18a/Taok1/Pkmyt1/Aurka/Bub1b/Gins1/Cdca5/Mcm2/Smc2/Cep76/Rbl2/Pmf1/Gins2/Cenpq/Nuf2/Sgo1/Ncapg2/Ncaph/Rfc4/Ncapg/Gmnn/Hmmr/Pold1/Ndc80/Cenpk/Orc4/Actr1a/Ccnb2/H3c3/Dsn1/E2f2/Pola2/Gins3/Cdc25a/Rab1b/Pole2/Cenpa/Banf1/Esco1/Prim2/Sgo2a/Nup155/Rpa3/Ccna2/Rfc5/Cdc20/Tubb4b/Tuba1c/H2bc3/Espl1/Psmd3/Spc25/Ska1/Anapc16/Cep290/Incenp/Nek2/Cenpe/H2ac11/Aaas/Akt3/Cenph/Cdc25c/E2f4/Pold2/H3c8/Tpr/Esco2/Bora/Plk4/Nup43/H2bc21/H2ac20/Tfdp1/Cdc25b/Ska2/Rfc3/Haus4/Orc1/Ccne1/Kif23/Ppp2r5d/Blzf1/Lpin1/Anapc5/Mcm8/H2bc12/Cdc7/Rps27a/Src/H4c12/Tubb2a/Cks1b/Cenpf/Prkca/H3c11/Cenpm/Nup133/Wapl/Tubb5/Tuba1b/Cep72/H2bc14/Ncapd3/Nup160/Smc4/Cep192/Cdkn1b/Cdc14a/H2afz/H4c1/H2bc7/H2bc13/Haus6/Spdl1/H4f16/Pola1/H4c8/Nde1/Haus7/Pole4/Psmd4",187
"R-MMU-69620","Cell Cycle Checkpoints","108/1540","281/8772",2.77792498915995e-17,1.42646448193363e-14,1.18573535063617e-14,"Ube2c/Mcm10/Cdk1/Cenpt/Ccnb1/Ercc6l/Cdc6/Cdc45/Gtse1/Dna2/Aurkb/Wee1/Mcm6/Cdk2/Mcm5/Mcm7/Zwilch/Bard1/Brip1/Kntc1/H2bc4/H2afx/Ccne2/Rpa1/Mad2l1/Bub1/Nup37/Plk1/Trp53/Mcm4/Cdca8/Cenpn/Rangap1/Mcm3/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Pkmyt1/Bub1b/Mcm2/Clspn/Pmf1/Cenpq/Nuf2/Sgo1/Rfc4/Ndc80/Cenpk/Orc4/Ccnb2/Dsn1/Exo1/Cdc25a/Cenpa/Blm/Sgo2a/Rpa3/Ccna2/Rfc5/Cdc20/H2bc3/Psmd3/Spc25/Ska1/Anapc16/Chek1/Incenp/Cenpe/Cenph/Cdc25c/Babam2/H3c8/Nup43/H2bc21/Ska2/Rfc3/Orc1/Ccne1/Ppp2r5d/Anapc5/Mcm8/Brca1/H2bc12/Cdc7/Rps27a/Topbp1/H4c12/Cenpf/H3c11/Cenpm/Nup133/H2bc14/Nup160/Cdkn1b/Rad9a/Nsd2/H4c1/H2bc7/H2bc13/Spdl1/H4f16/H4c8/Nde1/Psmd4",108
"R-MMU-68962","Activation of the pre-replicative complex","25/1540","30/8772",6.29194782189489e-15,2.15394347102868e-12,1.79044550300237e-12,"Mcm10/Cdc6/Cdc45/Cdt1/Mcm6/Cdk2/Mcm5/Mcm7/Rpa1/Pole/Mcm4/Mcm3/Prim1/Mcm2/Gmnn/Orc4/Pola2/Pole2/Prim2/Rpa3/Orc1/Mcm8/Cdc7/Pola1/Pole4",25
"R-MMU-2500257","Resolution of Sister Chromatid Cohesion","56/1540","118/8772",5.12635365287339e-14,1.31619130037524e-11,1.09407179275798e-11,"Tubb6/Cdk1/Cenpt/Ccnb1/Ercc6l/Aurkb/Stag2/Tuba1a/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Ccnb2/Dsn1/Cenpa/Sgo2a/Cdc20/Tubb4b/Tuba1c/Spc25/Ska1/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Tubb2a/Cenpf/Cenpm/Nup133/Wapl/Tuba1b/Nup160/Spdl1/Nde1",56
"R-MMU-68877","Mitotic Prometaphase","75/1540","189/8772",3.47550002466328e-13,7.13867705065838e-11,5.93395898947773e-11,"Tubb6/Cdk1/Cenpt/Ccnb1/Ercc6l/Aurkb/Tubg1/Stag2/Tuba1a/Haus5/Zwilch/Akap9/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Ncapd2/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Smc2/Cep76/Pmf1/Cenpq/Nuf2/Sgo1/Ncaph/Ncapg/Ndc80/Cenpk/Actr1a/Ccnb2/Dsn1/Cenpa/Sgo2a/Cdc20/Tubb4b/Tuba1c/Spc25/Ska1/Cep290/Incenp/Nek2/Cenpe/Cenph/Plk4/Nup43/Ska2/Haus4/Ppp2r5d/Tubb2a/Cenpf/Cenpm/Nup133/Wapl/Tubb5/Tuba1b/Cep72/Nup160/Smc4/Cep192/Haus6/Spdl1/Nde1/Haus7",75
"R-MMU-68886","M Phase","123/1540","381/8772",6.80785533530436e-13,1.16527790489293e-10,9.68626434549446e-11,"Tubb6/Hist1h2an/Ube2c/Cdk1/Cenpt/Lmnb1/Ccnb1/Ercc6l/Ndc1/Fbxo5/Aurkb/H2ac4/Tubg1/Stag2/Tuba1a/Haus5/Lmna/Zwilch/H2ac10/Akap9/Kntc1/H2bc4/H2afx/Mad2l1/Nipbl/Bub1/Nup37/Plk1/Nup188/Ncapd2/Cdca8/Cenpn/Rangap1/Nup93/Mastl/Spc24/Kif20a/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Cdca5/Smc2/Cep76/Pmf1/Cenpq/Nuf2/Sgo1/Ncapg2/Ncaph/Ncapg/Ndc80/Cenpk/Actr1a/Ccnb2/H3c3/Dsn1/Rab1b/Cenpa/Banf1/Sgo2a/Nup155/Cdc20/Tubb4b/Tuba1c/H2bc3/Espl1/Psmd3/Spc25/Ska1/Anapc16/Cep290/Incenp/Nek2/Cenpe/H2ac11/Aaas/Cenph/H3c8/Tpr/Plk4/Nup43/H2bc21/H2ac20/Ska2/Haus4/Kif23/Ppp2r5d/Blzf1/Lpin1/Anapc5/H2bc12/Rps27a/H4c12/Tubb2a/Cenpf/Prkca/H3c11/Cenpm/Nup133/Wapl/Tubb5/Tuba1b/Cep72/H2bc14/Ncapd3/Nup160/Smc4/Cep192/H2afz/H4c1/H2bc7/H2bc13/Haus6/Spdl1/H4f16/H4c8/Nde1/Haus7/Psmd4",123
"R-MMU-5663220","RHO GTPases Activate Formins","58/1540","132/8772",1.13367618040754e-12,1.66326491039791e-10,1.38257350723385e-10,"Tubb6/Cenpt/Ercc6l/Aurkb/Tuba1a/Zwilch/Kntc1/Mad2l1/Fmnl3/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Rhoc/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Diaph3/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Sgo2a/Cdc20/Tubb4b/Tuba1c/Spc25/Ska1/Incenp/Cenpe/Cenph/Nup43/Actg1/Diaph2/Rac1/Ska2/Ppp2r5d/Src/Tubb2a/Cenpf/Cenpm/Nup133/Tuba1b/Nup160/Spdl1/Nde1/Fmnl2",58
"R-MMU-141424","Amplification of signal from the kinetochores","44/1540","91/8772",1.20763505709025e-11,1.37804578181299e-09,1.14548775590666e-09,"Cenpt/Ercc6l/Aurkb/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Sgo2a/Cdc20/Spc25/Ska1/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Cenpf/Cenpm/Nup133/Nup160/Spdl1/Nde1",44
"R-MMU-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","44/1540","91/8772",1.20763505709025e-11,1.37804578181299e-09,1.14548775590666e-09,"Cenpt/Ercc6l/Aurkb/Zwilch/Kntc1/Mad2l1/Bub1/Nup37/Plk1/Cdca8/Cenpn/Rangap1/Spc24/Nup107/Ppp2r1a/Birc5/Kif2c/Kif18a/Taok1/Bub1b/Pmf1/Cenpq/Nuf2/Sgo1/Ndc80/Cenpk/Dsn1/Cenpa/Sgo2a/Cdc20/Spc25/Ska1/Incenp/Cenpe/Cenph/Nup43/Ska2/Ppp2r5d/Cenpf/Cenpm/Nup133/Nup160/Spdl1/Nde1",44
"R-MMU-176187","Activation of ATR in response to replication stress","24/1540","34/8772",1.34865869026357e-11,1.38507247490069e-09,1.15132862926711e-09,"Mcm10/Cdc6/Cdc45/Mcm6/Cdk2/Mcm5/Mcm7/Rpa1/Mcm4/Mcm3/Mcm2/Clspn/Rfc4/Orc4/Cdc25a/Rpa3/Rfc5/Chek1/Cdc25c/Rfc3/Orc1/Mcm8/Cdc7/Rad9a",24
