"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"Ifi208",6.10387158002919,6.02670523470332,5.48178737861659,4.24034968447334,5.58449391372413,6.55972685189107,6.81225202796262,6.92944593155084,6.98045196735858,5.19223986175559,8.50282114579691,8.80564886921578
"Cep85l",7.17731288191746,7.17969917553643,7.24111274436058,5.82157713073843,6.5368834961075,6.01083005302915,8.45647610792897,8.64077119057607,8.69229413015648,6.67633596159144,7.79874674497156,8.10983481391022
"Gm15448",5.68516129983065,6.10726610520806,5.61683544372014,6.31121578939977,5.75413518525567,5.55165345094453,4.88162901358444,4.43978361010179,4.79805905145073,6.66198968948943,5.07953674220708,5.45575155171437
"9030025P20Rik",8.73073132876927,8.71145163609659,8.82907305172726,8.25951558224658,7.74335822185743,8.36341579197973,9.62800486751479,9.62876969305853,9.60961536910004,9.6822878250407,9.65428017585765,9.3025907275983
"Snord70",7.36467039459642,7.18167420417912,7.14176810970025,7.02991705325291,7.14203578447104,7.3237736308807,6.25696614109975,6.51474030874348,5.65193706666376,6.7448530067842,6.90237352906366,7.22626444317834
"Mir1949",6.70064091382688,7.1051956464531,6.87714142203777,6.078980198069,6.28147116810911,6.58412573591318,4.67726928768829,5.36157465864325,4.62631062117462,5.08991930703376,4.84461516227963,5.77973954068724
"Slc44a1",8.94637600515312,9.08007694769458,9.03910110108818,9.38016611991975,9.19693214776026,9.32562457623196,7.85055911846215,7.76802108491998,8.04088530976975,9.53220035749675,8.13742309433446,7.92833591627344
"Gm19327",6.65765332879895,6.64866532194926,6.71720151480144,6.63988315355654,6.23549770970498,6.74936551188039,7.68889545904275,7.51275304962784,7.81398673403921,7.23238162359603,7.607366441891,7.99566139572022
"Gm14636",8.7490998464153,9.05766068632602,9.03311951374062,9.16904099526482,8.45491686541233,8.58236206099403,8.20475771621182,8.32470566292868,8.32436603893466,7.81695595790878,7.73988548495388,7.62683514774505
"Gm15987",9.29265654414605,9.06998360607336,9.11334738191925,5.69413082680666,8.19748093479404,5.59529417997433,10.1307581185555,10.1422347835381,10.2119187197507,8.34183336377575,9.60561490623832,9.57828224709141
"Mir3094",5.26751661970687,5.45395226207925,5.36207120210873,4.04026831025357,4.3884619368846,4.36864851446445,4.5633933904557,5.178313721709,4.77616406499079,4.94866028218205,4.62176556478209,5.21415293747984
"Mir3095",5.84071148775969,5.47276831507472,5.85916047990758,3.24962303274479,3.56610721482663,3.21994200575441,4.01261174739675,4.69696910475346,3.37684099426482,3.185292329355,3.75419142620564,3.6836431559935
"Mir3961",5.43379119538769,4.96520203183501,5.75317886146761,4.82467450200604,5.42568402503324,5.86335590833534,5.9842314122908,5.85954960473037,5.89702423010486,6.7157970415478,6.19746733675718,6.26508121227806
"N4bp2l1",8.45318148053605,8.38562010827997,8.35073222347205,7.53090154016962,7.65618259214998,7.29540545678005,9.33613875204513,9.29953522915308,9.47313695760365,8.71430904989625,9.01859588730776,8.7993837607195
"Gm15523",8.22731645087579,8.28290134676174,8.11155865336134,4.84375894652961,5.93309788992533,5.4463588797964,8.7967668516422,8.85181876236676,8.7506436817225,5.87896727462175,8.14342381392733,8.3155571202683
"Gm12610",5.41699605795281,5.31140033123691,5.39711278546137,4.97255508698838,4.20078778712052,5.21682162109571,3.74783743787644,4.24195372004793,4.17760426183161,4.59913891866361,3.94686946243521,4.02268906698185
"Peak1os",6.19221062323399,6.14762362314041,5.8842840892495,6.31041092076252,6.3821686181917,7.005710533081,5.42601964961387,5.89997221231141,5.79292770712879,5.41157321452077,5.27312774912919,5.75888286234484
"Ttc39aos1",6.94653263632113,6.68833226333019,7.22121987733941,8.17775200377098,7.5053693861565,7.92581465321485,7.57900069167857,7.63221563254784,7.85312101356667,7.74353317190945,7.12342827919309,7.10343307511052
"LOC102638993",7.16621514524549,6.93081742572895,7.02152455659379,5.90091672700868,6.78774374994379,6.32103348458175,5.06575748398327,5.26215353765953,5.39945315727782,6.19378080704045,5.66907132397374,5.94331403726804
