"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210953","St18","240690","suppression of tumorigenicity 18",1.02861719427367,8.22741425483143,4.13181690228356,0.00166493200074864,0.00896997087813406,-1.48425908621591
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",1.0314368395889,10.6858182442345,8.02297309366674,6.33302218918756e-06,0.000519741588156475,4.25351964732769
"3","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-1.3747280685688,5.07783641109128,-2.27089205133644,0.0442250041210486,0.0956505414040441,-4.75064996832978
"4","17211498","Lmbrd1","68421","LMBR1 domain containing 1",0.50422804477261,10.7214512885221,5.11008422275047,0.000338044399762459,0.00328821432500764,0.154653446423592
"5","17211587","Dst","13518","dystonin",0.0955068784346391,8.82015681657544,0.430746223934649,0.674967067748743,0.761530640844203,-6.93662404908674
"6","17211748","Amer3","211383","APC membrane recruitment 3",0.026569043093287,3.73553900851464,0.13411815962058,0.895730134639789,0.928107789108781,-7.02648477880734
"7","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.0727138397904783,6.2477462356571,0.308978758373004,0.763107739746145,0.830968995900001,-6.9847617769415
"8","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",0.231828904617803,4.16998673480972,1.01389473054381,0.332402994502911,0.44862048661116,-6.50443147489579
"9","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",0.290437406739073,9.81067747073953,3.23704577468828,0.00790973326365251,0.0263116113173471,-3.06400654408598
"10","17212138","Map4k4","26921","mitogen-activated protein kinase kinase kinase kinase 4",-0.509592950418471,9.07372858598745,-1.60132518968787,0.137592996896397,0.230901861178239,-5.78954447011108
"11","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.205919411351084,4.07898356543481,1.65188850691482,0.126770157434307,0.216878654355631,-5.71789443476995
"12","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.4086858818645,5.77524336573396,-1.171624518608,0.266086093705128,0.377396256483764,-6.33631241977742
"13","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.962677028023641,5.58089536757329,-3.35481028243072,0.00641762107641178,0.0226192489611048,-2.85411219296515
"14","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",0.00737033275037824,4.51654638026419,0.0399035265489506,0.968884661053357,0.979101628720763,-7.03535154840278
"15","17212301","Tmem182","381339","transmembrane protein 182",0.173670193213964,5.30515792790631,0.973709746699697,0.351114814653268,0.466310985277706,-6.54407733733632
"16","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.175722956946663,7.39359476441753,1.71059602730879,0.115157173283404,0.202200134002977,-5.63304434047667
"17","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",-0.39379387178235,4.3372140493609,-1.95975246627741,0.0758310682739474,0.146407969716152,-5.25517602589068
"18","17212461","Col3a1","12825","collagen, type III, alpha 1",-0.396328529277333,6.16381426738912,-1.23980521061036,0.24083025175713,0.350367663496106,-6.25778489545061
"19","17212719","Cavin2","20324","caveolae associated 2",-0.240524084071209,4.58737294817062,-0.989166642532491,0.34382889091676,0.460102498432501,-6.52898616416735
"20","17212724","Stat4","20849","signal transducer and activator of transcription 4",0.307381817834356,6.03850783134702,0.538978561893277,0.6006335461034,0.701535392147653,-6.88102357912503
"21","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",0.462224911453505,7.49636021907437,4.62809028914257,0.000729552536358747,0.00533352752198735,-0.637826633194936
"22","17212888","Mob4","19070","MOB family member 4, phocein",0.408947831839528,9.62171313861553,4.46519306426008,0.000953067298759999,0.00627453427128698,-0.912489307501025
"23","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.55340087393715,7.29185145634276,4.23566799325875,0.00139721405854252,0.0079721042140269,-1.30483746888123
"24","17212970","Sgo2a","68549","shugoshin 2A",-0.642177116879341,5.76722105338153,-3.88759264289346,0.00252731434701523,0.0119977339563932,-1.91031070970457
"25","17212982","Aox1","11761","aldehyde oxidase 1",-0.47837557904285,5.46677315114498,-2.72745731911049,0.0196581687020389,0.0516091536783151,-3.96720139885549
"26","17213246","Cdk15","271697","cyclin-dependent kinase 15",0.0928632860947323,6.21194310437243,0.257609864089807,0.801460888282118,0.861729944672632,-7.00040029820156
"27","17213265","Fzd7","14369","frizzled class receptor 7",-0.146059984103386,6.43420874843375,-0.564260462091935,0.583892150166901,0.687114097750914,-6.86633528021851
"28","17213295","Nop58","55989","NOP58 ribonucleoprotein",-0.309496957981546,9.38550742285296,-1.86690695517472,0.0887596898788417,0.164835493510273,-5.39911370556103
"29","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",-1.08815639732293,6.8734144727178,-5.29842663218179,0.000252522485202272,0.00279818490621109,0.455652919647306
"30","17213336","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.703428554720336,8.81691112804727,5.44664100878658,0.000201443946464136,0.0025038395918395,0.688985952085846
"31","17213338","Fam117b","72750","family with sequence similarity 117, member B",0.0397435661534793,9.03120741213519,0.386562787335931,0.70644872254729,0.785553280994794,-6.95587578054492
"32","17213369","Nbeal1","269198","neurobeachin like 1",0.547707366934226,8.48615067011053,4.32510325404431,0.00120274107972626,0.00722006193250501,-1.15124634150685
"33","17213428","Cyp20a1","77951","cytochrome P450, family 20, subfamily a, polypeptide 1",-0.450640713731882,9.3535996239816,-4.33088229170092,0.0011911914142257,0.00718673490697499,-1.14135229766325
"34","17213462","Cd28","12487","CD28 antigen",0.180058843945393,7.0234352795689,0.554803063126012,0.590125687002771,0.692273935937655,-6.87190436312844
"35","17213490","Icos","54167","inducible T cell co-stimulator",0.278635751862202,5.80107577947055,1.68605422274466,0.119891032312076,0.208435047760199,-5.66872608211421
"36","17213580","Eef1b2","55949","eukaryotic translation elongation factor 1 beta 2",0.113228865379948,11.0589074303741,0.784180502235181,0.449481903098105,0.563788210654564,-6.71238511312742
"37","17213608","Adam23","23792","a disintegrin and metallopeptidase domain 23",-1.10787192085134,5.451124685014,-4.12436687421764,0.00168608878306471,0.00903520384556412,-1.49717289112045
"38","17213702","Pikfyve","18711","phosphoinositide kinase, FYVE type zinc finger containing",0.486915590995146,9.88824276403623,5.53464021280997,0.000176409616455707,0.00230068594291621,0.82603586879159
"39","17213990","Atic","108147","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase",-0.715536569696834,7.77748457409663,-6.67853510899587,3.46501713364642e-05,0.00108119362748311,2.50658719908951
"40","17214053","Xrcc5","22596","X-ray repair complementing defective repair in Chinese hamster cells 5",-0.420812734415941,4.35955310184669,-1.63987209130583,0.129271641868843,0.219519956472857,-5.73504447761543
"41","17214100","Rpl37a","19981","ribosomal protein L37a",0.380651279237469,6.49129354555505,2.01330176823191,0.0691923410397429,0.136179801303909,-5.17063936021535
"42","17214197","Slc11a1","18173","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",-0.18155735744282,11.6044616941652,-1.16034543686283,0.27045844501513,0.38239059027318,-6.34897263267778
"43","17214232","Mir26b","387219","microRNA 26b",0.0757955548148086,4.70302442043914,0.326355694595959,0.750276690946999,0.819789833205083,-6.97884055313566
"44","17214368","Cyp27a1","104086","cytochrome P450, family 27, subfamily a, polypeptide 1",0.406134885214862,7.32342952264325,1.87231725422487,0.0879538305594141,0.163694128263886,-5.39082258061537
"45","17214543","Gmppa","69080","GDP-mannose pyrophosphorylase A",-0.357674238369137,8.46360305443332,-3.77780275641454,0.00305559613557726,0.0136510637197937,-2.1034750941933
"46","17214622","Slc4a3","20536","solute carrier family 4 (anion exchanger), member 3",0.697355584385593,6.12373932318201,5.1845687835531,0.000301034253111745,0.00309347548952396,0.274287815331716
"47","17214892","A530040E14Rik","621875","RIKEN cDNA A530040E14 gene",0.166030536372455,3.57472600611534,0.522089437640492,0.611953849275186,0.710644603800667,-6.89048006207984
"48","17214910","Gm2427","100039794","predicted gene 2427",0.435718715866216,6.62580501449415,1.94038837079934,0.0783742327564996,0.150060731365992,-5.28547914897509
"49","17214924","Sp140","434484","Sp140 nuclear body protein",0.325743069269,7.37043463482734,1.41978849199622,0.183367663945342,0.286231285746885,-6.0349321797456
"50","17214948","Sp100","20684","nuclear antigen Sp100",0.310685524504146,11.1955905701053,1.65949484797315,0.125209002852275,0.214874573499851,-5.70699977641915
"51","17215097","B3gnt7","227327","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",-0.110970550142745,4.7302063797475,-0.616676270395554,0.549990974400288,0.657863004723909,-6.83386783512613
"52","17215105","C130036L24Rik","319336","RIKEN cDNA C130036L24 gene",0.325154723929309,5.05169841773319,1.71889518944564,0.113594639687209,0.200058881100434,-5.62091072340062
"53","17215166","Akp3","11648","alkaline phosphatase 3, intestine, not Mn requiring",0.214733472962475,4.28187549087187,1.28449515271152,0.22534546349524,0.334500661992067,-6.20450200986396
"54","17215372","Scarna6","100217415","small Cajal body-specific RNA 6",0.0646527434931556,8.1911669461538,0.493512010638173,0.631350404832159,0.725435419131082,-6.90582753584563
"55","17215565","Sh3bp4","98402","SH3-domain binding protein 4",-0.238090728461597,7.20571826449492,-1.61753362393489,0.134038149052748,0.226203535485919,-5.76672458925194
"56","17215576","Agap1","347722","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",-0.422751425716164,7.25006188298566,-2.32979549767806,0.0398707224073915,0.0884032190757522,-4.65195042071481
"57","17215720","Scly","50880","selenocysteine lyase",0.198102491909097,8.30167736586157,1.94522683904788,0.0777314651193371,0.14921153717717,-5.27792096170061
"58","17215799","Twist2","13345","twist basic helix-loop-helix transcription factor 2",0.140410516847366,3.73542603248268,0.503191912113488,0.624746767478258,0.720118872028812,-6.9007212642548
"59","17215820","Gpc1","14733","glypican 1",-0.731037993910487,6.64087030793189,-3.45720140322673,0.00535505847167291,0.0199391891260363,-2.67176618442897
"60","17215873","Gpr35","64095","G protein-coupled receptor 35",0.0231454409972214,5.67098811236938,0.141014923939382,0.890405932888596,0.925333403716404,-7.02545943705312
"61","17215932","Sned1","208777","sushi, nidogen and EGF-like domains 1",-0.150712841020551,4.77022237470891,-0.900611488717582,0.387076640441842,0.503250033178619,-6.61271066559836
"62","17216031","Farp2","227377","FERM, RhoGEF and pleckstrin domain protein 2",-0.136704314587593,5.86039507315953,-0.986442505238849,0.345104922727342,0.461089115089096,-6.53166028665214
"63","17216096","D2hgdh","98314","D-2-hydroxyglutarate dehydrogenase",0.117300200655994,6.06154612909619,0.656832178899464,0.524784806723759,0.633484944002023,-6.80717854334026
"64","17216120","Gal3st2b","100041596","galactose-3-O-sulfotransferase 2B",0.244063368406397,5.49400890230894,1.01333754092483,0.332657337153091,0.448761564261241,-6.50499029759537
"65","17216158","Fam174a","67698","family with sequence similarity 174, member A",0.422425246360519,8.039759397765,2.90130339542957,0.0144034895973449,0.0411891676265838,-3.66091247610677
"66","17216219","1810006J02Rik","69030","RIKEN cDNA 1810006J02 gene",-0.211473259132828,3.46285164042944,-1.53826680272379,0.152221159612322,0.249372974360793,-5.8769511568328
"67","17216339","Tnfrsf11a","21934","tumor necrosis factor receptor superfamily, member 11a, NFKB activator",-0.498528669305504,9.33190555577288,-3.77072648894405,0.00309334387061935,0.0137581463466077,-2.1159552193854
"68","17216353","Zcchc2","227449","zinc finger, CCHC domain containing 2",0.385376105136972,8.37885569551975,1.7361813033813,0.110401038633406,0.195452902616056,-5.59553035864132
"69","17216373","Phlpp1","98432","PH domain and leucine rich repeat protein phosphatase 1",-0.310261369780701,7.49087291658114,-1.90071288402376,0.0838335363765966,0.158322703471654,-5.34710739028988
"70","17216458","Serpinb2","18788","serine (or cysteine) peptidase inhibitor, clade B, member 2",-2.31777343182084,5.6131145957569,-5.30288108662652,0.000250801782068303,0.00279818490621109,0.462711152452652
"71","17216527","Cntnap5a","636808","contactin associated protein-like 5A",0.100568933532983,3.38849753616388,0.521698314799318,0.612217281412908,0.710812738942777,-6.89069566768863
"72","17216690","Ccdc93","70829","coiled-coil domain containing 93",0.437006789168427,8.71074467200215,4.04516753303621,0.00192912050218871,0.00993710666502932,-1.63479271246046
"73","17216753","Mgat5","107895","mannoside acetylglucosaminyltransferase 5",0.092564417188683,9.04473790043694,0.614068565681723,0.551651153040446,0.658879995587183,-6.83554685151895
"74","17216792","Ccnt2","72949","cyclin T2",0.316485686762974,9.07623448814567,3.40093303847254,0.00591456696832808,0.0214103750497,-2.77194500638792
"75","17216888","Thsd7b","210417","thrombospondin, type I, domain containing 7B",0.242477676418992,4.12996644002179,1.42865169040953,0.180863337933598,0.283207594762202,-6.02340920546879
"76","17216926","Cd55os","102640368","CD55 molecule, opposite strand sequence",0.4464577533348,4.91161286759881,1.96216238709322,0.0755199821861002,0.145938583279265,-5.25139462236228
"77","17216931","Gm16083","102640300","predicted gene 16083",0.809712715448161,4.20954988454435,4.09458223063836,0.00177351213060265,0.00937785628812044,-1.54885634890046
"78","17216990","Il10","16153","interleukin 10",0.910951292970237,9.14912726531997,2.59470115895156,0.0249179343630832,0.0616867623744343,-4.19876633423763
"79","17217022","Fam72a","108900","family with sequence similarity 72, member A",-0.516383936919099,6.11110393981089,-1.79450200479339,0.100214757994409,0.182045668630838,-5.50885644816174
"80","17217048","Rab7b","226421","RAB7B, member RAS oncogene family",0.0598117351536445,10.2081101155444,0.361784108466663,0.724363126114509,0.798906385963185,-6.96578584410527
"81","17217101","Slc41a1","98396","solute carrier family 41, member 1",-0.476990628861168,7.16484548216026,-3.47677007427103,0.00517343926232891,0.0194686398370682,-2.63694724081951
"82","17217182","Nuak2","74137","NUAK family, SNF1-like kinase, 2",0.366128538613256,7.48824871409523,3.36640341125146,0.0062871999869974,0.0223275726864857,-2.8334557344857
"83","17217232","Tmem81","74626","transmembrane protein 81",0.416312921684534,5.8802308407139,3.26034947154671,0.00758871023428972,0.0255044333969632,-3.02246914974278
"84","17217373","Fmod","14264","fibromodulin",-0.788053548603934,6.06336603138194,-3.9651231065344,0.00221202758401223,0.0109251914722319,-1.77447870290797
"85","17217428","Myog","17928","myogenin",0.228461169117482,5.92514105442986,1.39841929610198,0.189526183248994,0.293019706798639,-6.06251049834215
"86","17217455","Adipor1","72674","adiponectin receptor 1",0.466678721641385,10.4143633674176,4.49853225658057,0.000902073910868998,0.00609678453328894,-0.856010451878102
"87","17217500","Kdm5b","75605","lysine (K)-specific demethylase 5B",0.390141157813749,7.99675789111444,1.50958424275749,0.159310331799581,0.258302624576804,-5.91596343625168
"88","17217552","Ube2t","67196","ubiquitin-conjugating enzyme E2T",-0.544836455420834,5.59032436608162,-3.81332173342646,0.00287319550548806,0.0131759470776238,-2.04088495272681
"89","17217566","Ptpn7","320139","protein tyrosine phosphatase, non-receptor type 7",-1.00320550486872,8.36179867708039,-7.94757924589219,6.92786507773413e-06,0.000546268425701736,4.1616149221316
"90","17217602","Gm4793","215714","predicted gene 4793",0.429157739178746,5.39015445152574,2.81984801273649,0.0166635833015686,0.046005312239492,-3.80478108155168
"91","17217610","Csrp1","13007","cysteine and glycine-rich protein 1",-1.19366221423003,8.77620653838964,-5.73352879448867,0.000131224825638543,0.00206886297473818,1.13168309812888
"92","17217789","Kif14","381293","kinesin family member 14",-1.58677286719656,6.20145910856102,-3.89406952717571,0.00249927321408455,0.0119212944471183,-1.89894425628051
"93","17217821","Zfp281","226442","zinc finger protein 281",0.210492514997499,8.42610914873009,0.999410598821581,0.339061227587528,0.454941951730545,-6.51887523067473
"94","17217825","Gm19705","100503460","predicted gene, 19705",-0.642904735000029,6.02505959000793,-2.73977374660379,0.019229961128112,0.0508638839375359,-3.94560300385198
"95","17217846","Mir181b-1","723890","microRNA 181b-1",0.184379179580431,4.39550516003293,0.705100955093515,0.495398581429482,0.605453468246435,-6.77304568821033
"96","17217854","Dennd1b","329260","DENN/MADD domain containing 1B",0.543949753467507,8.69260981189544,5.14252001974752,0.000321367799666138,0.0031868673489207,0.206846126933969
"97","17217887","4930596I21Rik","78229","RIKEN cDNA 4930596I21 gene",-0.000518857578626353,4.14948553934223,-0.00358334414039636,0.9972050343932,0.998371550977551,-7.03620643189825
"98","17217914","Aspm","12316","abnormal spindle microtubule assembly",-1.13110170913489,6.23785196299144,-3.19692552705397,0.00849513018536117,0.0276599592067928,-3.13550994077401
"99","17218060","Ptgs2","19225","prostaglandin-endoperoxide synthase 2",0.296463110892379,8.36506153800238,1.36895616315232,0.198301390431537,0.303531842124512,-6.10005542361272
"100","17218079","Tpr","108989","translocated promoter region, nuclear basket protein",0.368938709068788,10.8127878445066,3.4381483055198,0.00553817501570093,0.0204683568902309,-2.70567866009442
"101","17218186","Fam129a","63913","family with sequence similarity 129, member A",-0.391232634656748,7.15813533514899,-3.31492474366954,0.0068878134988266,0.0238387583312941,-2.9251925488057
"102","17218305","Rgs8","67792","regulator of G-protein signaling 8",-0.108220513021193,5.61578284051691,-0.626939474529204,0.543484349167952,0.651985329568522,-6.8271953011566
"103","17218321","Rgs16","19734","regulator of G-protein signaling 16",-1.05199715767955,6.33416637125884,-3.40538948456678,0.00586814820497001,0.0212921482436779,-2.76400805230338
"104","17218328","Rnasel","24014","ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)",0.943767977747456,9.42482291033347,5.10617509588043,0.000340115239875336,0.00330248039237138,0.148353322698751
"105","17218465","Cryzl2","226527","crystallin zeta like 2",0.250785608112721,6.82683925660482,1.28121065062741,0.226455299235251,0.33564910878733,-6.20846569895265
"106","17218514","Astn1","11899","astrotactin 1",-0.000473846041764148,4.74566556616429,-0.00295314428806916,0.997696581021734,0.998529939342,-7.03620866164236
"107","17218543","Cop1","26374","COP1, E3 ubiquitin ligase",-0.133320232977137,10.1226917898732,-1.43366783915418,0.179458877899869,0.281911930850591,-6.01686600437455
"108","17218653","Gas5","14455","growth arrest specific 5",-0.281804375393293,6.83723553119927,-1.22100772892574,0.247594151243242,0.35743049640922,-6.27977293845348
"109","17218682","Cenpl","70454","centromere protein L",-0.657499276911739,5.38686341447106,-3.33917029479374,0.00659796029274048,0.0230620654106232,-2.88198223776662
"110","17218701","Tnfsf4","22164","tumor necrosis factor (ligand) superfamily, member 4",0.707961313175752,4.45675508797013,2.75600279039986,0.01867984563474,0.0499156802844456,-3.91711691009873
"111","17218707","Tnfsf18","240873","tumor necrosis factor (ligand) superfamily, member 18",0.575462032565034,3.41872252172455,3.41016095669804,0.00581886115957211,0.0211919739860161,-2.75551051863232
"112","17218736","Vamp4","53330","vesicle-associated membrane protein 4",0.40667144153159,7.84521214900637,3.26121780075608,0.00757700803209183,0.0254917705373312,-3.02092137667464
"113","17218752","Myoc","17926","myocilin",0.263953554434499,4.19479942407034,1.1112317947448,0.290153519917188,0.404634482733677,-6.40297653417147
"114","17218760","Gm20471","105243993","predicted gene 20471",-0.503426050324984,4.07236299302211,-3.21825659132626,0.00817860348609552,0.0269367858632206,-3.09749497011513
"115","17218813","Mettl18","69962","methyltransferase like 18",0.0518395461906609,4.60451975301446,0.308743482923189,0.763281987053531,0.830968995900001,-6.98483976463539
"116","17218889","Slc19a2","116914","solute carrier family 19 (thiamine transporter), member 2",-0.383253969786356,7.68277414476439,-1.55419346817673,0.148404100232982,0.244322331545973,-5.85508480721049
"117","17218899","Ccdc181","74895","coiled-coil domain containing 181",0.329105446759779,6.03568789517221,2.70122104397802,0.0206021422170568,0.0534549302825412,-4.01314980680044
"118","17219053","Ildr2","100039795","immunoglobulin-like domain containing receptor 2",0.103601148407994,4.16413089557204,0.564689575206081,0.583610145544051,0.686917167378077,-6.86608048587169
