"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210953","St18","240690","suppression of tumorigenicity 18",1.010852109226,8.22741425483143,4.06045694536363,0.00187950952804825,0.0089937233087357,-1.59209103983704
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.84617370564551,10.6858182442345,6.58191428926276,3.94872788852006e-05,0.000799217188517692,2.38383881647621
"3","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-0.269189499759976,5.07783641109128,-0.444669974582373,0.665175549190142,0.751524677472729,-6.91152309392904
"4","17211498","Lmbrd1","68421","LMBR1 domain containing 1",0.372254435550559,10.7214512885221,3.77260157913994,0.00308329463643146,0.0125234021470243,-2.09621395727393
"5","17211587","Dst","13518","dystonin",0.32303520943818,8.82015681657544,1.4569233016935,0.173067909349616,0.266954131028206,-5.96801261414551
"6","17211748","Amer3","211383","APC membrane recruitment 3",0.0850260572523824,3.73553900851464,0.429203952827525,0.676055546687349,0.760591593140488,-6.91871102503506
"7","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",0.169913804989526,6.2477462356571,0.722005008226387,0.485348332666309,0.5974361744409,-6.74200335636174
"8","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",0.0701380944306491,4.16998673480972,0.306746238010557,0.764761716660605,0.829564990858896,-6.96686631211132
"9","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",0.461394460027382,9.81067747073953,5.14243328387109,0.000321411214600769,0.00278262223507689,0.221275560730761
"10","17212138","Map4k4","26921","mitogen-activated protein kinase kinase kinase kinase 4",-0.405030575148812,9.07372858598745,-1.27275242337428,0.229333812898232,0.331149403006341,-6.20024472796125
"11","17212174","Il1r2","16178","interleukin 1 receptor, type II",0.404994995149357,4.07898356543481,3.24887572985829,0.00774507710680557,0.0239549597041157,-3.02591888121981
"12","17212185","Il1r1","16177","interleukin 1 receptor, type I",-0.463387957293406,5.77524336573396,-1.32844494141992,0.210917539476758,0.310316055747853,-6.13238039154582
"13","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.944146116900229,5.58089536757329,-3.29023235092314,0.00719637349528866,0.0227391738450814,-2.95224393183812
"14","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",-0.424888938011275,4.51654638026419,-2.30038013106236,0.0419908599322012,0.0886424389900696,-4.68352817693108
"15","17212301","Tmem182","381339","transmembrane protein 182",0.312033952236115,5.30515792790631,1.74946831676066,0.108001432741918,0.184867595301952,-5.5577560008234
"16","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",0.20693126560638,7.39359476441753,2.01439702030336,0.0690624005136558,0.130110956439406,-5.15088714108975
"17","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",-0.681720790100976,4.3372140493609,-3.39264802081883,0.00600186536067643,0.0200206989843054,-2.76984776052459
"18","17212461","Col3a1","12825","collagen, type III, alpha 1",-1.04372511727515,6.16381426738912,-3.26500805077584,0.00752614273145579,0.0234350941289769,-2.99717987087217
"19","17212719","Cavin2","20324","caveolae associated 2",-0.522048546548505,4.58737294817062,-2.14694927546411,0.0549234742047303,0.109100309668614,-4.93736041617615
"20","17212724","Stat4","20849","signal transducer and activator of transcription 4",0.052310448599119,6.03850783134702,0.0917237413604562,0.928565668883194,0.949160159766479,-7.01301450571334
"21","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",0.0708835785567103,7.49636021907437,0.709731547238308,0.492632917582071,0.603304131078125,-6.75108599283063
"22","17212888","Mob4","19070","MOB family member 4, phocein",0.350595641704604,9.62171313861553,3.82806095500588,0.00280084912572278,0.0117096211529694,-1.9985698710637
"23","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.0126259249453327,7.29185145634276,0.0966374082421604,0.924751552331798,0.946555023068478,-7.01251406713389
"24","17212970","Sgo2a","68549","shugoshin 2A",-0.795507740743067,5.76722105338153,-4.81582099235501,0.00053858630658081,0.00387355409690952,-0.310408951045438
"25","17212982","Aox1","11761","aldehyde oxidase 1",-0.110459273737687,5.46677315114498,-0.629783307965431,0.541689186686571,0.646208665360264,-6.80674265040299
"26","17213246","Cdk15","271697","cyclin-dependent kinase 15",-1.22972705712206,6.21194310437243,-3.41135698912923,0.00580657324628427,0.0195323864786575,-2.73654624054899
"27","17213265","Fzd7","14369","frizzled class receptor 7",-0.384439542798696,6.43420874843375,-1.48517087275909,0.165566899096228,0.257591147247148,-5.930488097727
"28","17213295","Nop58","55989","NOP58 ribonucleoprotein",-0.422664445642882,9.38550742285296,-2.54954103078071,0.0270062987983796,0.0630041807247243,-4.25931840879071
"29","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",-0.207411829859483,6.8734144727178,-1.00992501248964,0.334218195695655,0.446244976691034,-6.48991949138969
"30","17213336","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.29362294381712,8.81691112804727,2.27351982825147,0.044021363680449,0.0919567607425279,-4.72842680607048
"31","17213338","Fam117b","72750","family with sequence similarity 117, member B",0.443407819821196,9.03120741213519,4.31277259052971,0.00122777797914083,0.00684880621325205,-1.15660645721211
"32","17213369","Nbeal1","269198","neurobeachin like 1",0.298723440166865,8.48615067011053,2.35894165593755,0.0378721179585756,0.0815151343787131,-4.585023421535
