"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","17210953","St18","240690","suppression of tumorigenicity 18",0.0177650850476718,8.22741425483143,0.0504591094432674,0.960660615883061,0.988546504595571,-6.28390488386083
"2","17210984","Pcmtd1","319263","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",0.185263133943391,10.6858182442345,1.01898245268263,0.330087207636201,0.683564625284645,-5.7633047827907
"3","17211405","Gsta3","14859","glutathione S-transferase, alpha 3",-1.10553856880882,5.07783641109128,-1.29133401442538,0.22304882055716,0.593769633414679,-5.46924679846328
"4","17211498","Lmbrd1","68421","LMBR1 domain containing 1",0.131973609222051,10.7214512885221,0.945743047016314,0.364579630462195,0.707732228856194,-5.83279179771999
"5","17211587","Dst","13518","dystonin",-0.227528331003541,8.82015681657544,-0.725616770381481,0.483217393554548,0.783811369273871,-6.01449237180343
"6","17211748","Amer3","211383","APC membrane recruitment 3",-0.0584570141590954,3.73553900851464,-0.208657165408442,0.838527162582807,0.94706960415797,-6.2623545424557
"7","17211795","Arid5a","214855","AT rich interactive domain 5A (MRF1-like)",-0.0971999651990476,6.2477462356571,-0.292053662079376,0.77567701189596,0.923872957906302,-6.24048642206535
"8","17211850","Cox5b","12859","cytochrome c oxidase subunit 5B",0.161690810187154,4.16998673480972,0.500029494376108,0.626900431163616,0.859245134546151,-6.15503921118368
"9","17212018","Eif5b","226982","eukaryotic translation initiation factor 5B",-0.170957053288308,9.81067747073953,-1.34731242853131,0.204961456144764,0.578390995649213,-5.40241522575011
"10","17212138","Map4k4","26921","mitogen-activated protein kinase kinase kinase kinase 4",-0.104562375269659,9.07372858598745,-0.232336031173561,0.820540596863102,0.940654174475094,-6.2568780229361
"11","17212174","Il1r2","16178","interleukin 1 receptor, type II",-0.199075583798272,4.07898356543481,-1.1292404948116,0.282807192462591,0.646344140981834,-5.65077971660629
"12","17212185","Il1r1","16177","interleukin 1 receptor, type I",0.0547020754289065,5.77524336573396,0.110888784398847,0.913700779107221,0.969704405249134,-6.27877145101315
"13","17212199","Il1rl2","107527","interleukin 1 receptor-like 2",-0.0185309111234124,5.58089536757329,-0.045663493284012,0.964396434865132,0.989501175840201,-6.2841476971538
"14","17212252","Il18rap","16174","interleukin 18 receptor accessory protein",0.432259270761653,4.51654638026419,1.65483044419702,0.12616430607611,0.486304837471131,-5.00203281971679
"15","17212301","Tmem182","381339","transmembrane protein 182",-0.138363759022151,5.30515792790631,-0.548544145453688,0.594270210633853,0.843666547845359,-6.12891373435746
"16","17212406","Bivm","246229","basic, immunoglobulin-like variable motif containing",-0.0312083086597168,7.39359476441753,-0.214819742277667,0.833836304848544,0.946703737463559,-6.26098535459703
"17","17212442","Gulp1","70676","GULP, engulfment adaptor PTB domain containing 1",0.287926918318625,4.3372140493609,1.01321016334829,0.332715501849832,0.685487608598481,-5.76893708058029
"18","17212461","Col3a1","12825","collagen, type III, alpha 1",0.647396587997821,6.16381426738912,1.43203466155927,0.179915129745674,0.55043063620642,-5.29751097410552
"19","17212719","Cavin2","20324","caveolae associated 2",0.281524462477296,4.58737294817062,0.818675950885963,0.430340367372769,0.758731354011259,-5.94281248037761
"20","17212724","Stat4","20849","signal transducer and activator of transcription 4",0.255071369235237,6.03850783134702,0.31625691651713,0.757724275744245,0.91583642431673,-6.23279633959493
"21","17212821","Ormdl1","227102","ORM1-like 1 (S. cerevisiae)",0.391341332896794,7.49636021907437,2.77069803752209,0.0181952376998167,0.237291686828492,-3.24953352870326
"22","17212888","Mob4","19070","MOB family member 4, phocein",0.058352190134924,9.62171313861553,0.450520434965328,0.661080594594736,0.877367181819256,-6.17931686050952
"23","17212931","1700066M21Rik","73467","RIKEN cDNA 1700066M21 gene",0.540774948991817,7.29185145634276,2.92673659420375,0.0137627613489199,0.214177414545399,-2.98656595731437
"24","17212970","Sgo2a","68549","shugoshin 2A",0.153330623863726,5.76722105338153,0.656356560393855,0.52507936807819,0.808666101671673,-6.06274852436179
"25","17212982","Aox1","11761","aldehyde oxidase 1",-0.367916305305163,5.46677315114498,-1.48327951799946,0.166060296193037,0.535078053615365,-5.23196999967555
"26","17213246","Cdk15","271697","cyclin-dependent kinase 15",1.32259034321679,6.21194310437243,2.59435134185985,0.0249334838036468,0.263450619872395,-3.54431880420352
"27","17213265","Fzd7","14369","frizzled class receptor 7",0.238379558695311,6.43420874843375,0.651181996248035,0.528290325408453,0.809666753523162,-6.06617545708813
"28","17213295","Nop58","55989","NOP58 ribonucleoprotein",0.113167487661336,9.38550742285296,0.482695183930004,0.638769564784571,0.865295350836584,-6.16381497007765
"29","17213313","Snord70","100217459","small nucleolar RNA, C/D box 70",-0.880744567463448,6.8734144727178,-3.03242857641381,0.011392714034767,0.199708925674664,-2.80780574026004
"30","17213336","Bmpr2","12168","bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.409805610903216,8.81691112804727,2.24373550428303,0.0463831613480699,0.33805537668648,-4.11685393129215
"31","17213338","Fam117b","72750","family with sequence similarity 117, member B",-0.403664253667717,9.03120741213519,-2.77624957619942,0.0180154376836982,0.237291686828492,-3.24020545404226
